year,state,state_po,district,dem_share,rep_share,margin,winner,margin_abs,competitive,district_id,total_population,median_income,pct_college,pct_hs_only,pct_white,pct_black,pct_asian,pct_hispanic,pct_nonwhite,cvap_total,incumbent_running,open_seat,generic_ballot_margin,redistricting_year,prev_margin,prev_winner,dem_share_lag,party_flip,dem_swing,competitiveness_score,district_vs_generic,pres_popular_margin,pres_year,natl_unemployment_rate,natl_gdp_growth,pres_approval,urban_rural_code,urban_rural_label,poverty_rate,district_unemployment_rate,median_age,median_home_value,owner_occ_rate,health_ins_rate
2012,ILLINOIS,IL,3,0.684818870283038,0.3151527203954578,-0.3696661498875802,D,0.3696661498875802,False,IL-03,709630,61946.0,0.2502507987806325,0.3045570947469251,0.7788467229401237,0.0428589546665163,0.0357622986626833,0.2881177515043051,0.2211532770598763,528355,,,-1.0,True,,,,False,,0.6303338501124198,0.6303338501124198,3.9,2012.0,8.1,2.3,49.1,1,Large central metro,0.10498521847142024,0.10655277760458881,36.5,233700.0,0.7734155801287341,0.4923737650699119
2014,ILLINOIS,IL,3,0.6456221835171823,0.3543778164828177,-0.2912443670343645,D,0.2912443670343645,False,IL-03,718749,61658.0,0.2570256401607306,0.3042729384779501,0.7741478596839787,0.0431444078530891,0.037704400284383,0.3025089426211375,0.2258521403160213,539949,True,False,-5.7,False,-0.3696661498875802,D,0.684818870283038,False,-0.03919668676585575,0.7087556329656355,5.408755632965636,3.9,2012.0,6.2,2.5,42.6,1,Large central metro,0.11914732760578359,0.10527550329870614,36.9,212900.0,0.7599038572917873,0.48868004826025707
2018,ILLINOIS,IL,3,0.7300858803406557,0.2591857934752433,-0.4709000868654123,D,0.4709000868654123,False,IL-03,717897,66819.0,0.277091861186434,0.3017184682955773,0.756862056813164,0.0481225022531087,0.0441887903139308,0.3208524342628538,0.243137943186836,544179,,,8.6,False,,,,False,,0.5290999131345877,-9.070900086865413,2.1,2016.0,3.9,3.0,42.0,1,Large central metro,0.1067960752905751,0.06784577232061849,37.8,221400.0,0.7429091504070029,0.4936766988677502
2020,ILLINOIS,IL,3,0.5637872823026384,0.4362127176973616,-0.1275745646052768,D,0.1275745646052768,False,IL-03,708422,73152.0,0.2939378671985276,0.2905422567173128,0.7317022904427022,0.0490611528156946,0.0451072948045091,0.3326943544949197,0.2682977095572978,537940,True,False,6.8,False,-0.4709000868654123,D,0.7300858803406557,False,-0.16629859803801728,0.8724254353947232,-6.927574564605276,4.5,2020.0,8.1,-3.4,41.9,1,Large central metro,0.10153225922153197,0.06440043095507908,38.6,238100.0,0.7500830935105995,0.49986371997379997
2022,ILLINOIS,IL,3,0.6849948525813039,0.3150051474186961,-0.3699897051626077,D,0.3699897051626077,False,IL-03,746412,82509.0,0.3519416525002154,0.2503349027411103,0.5486795496321066,0.0566188646484783,0.0646533013938682,0.4515776809590414,0.4513204503678933,580462,True,False,-2.8,True,-0.1275745646052768,D,0.5637872823026384,False,0.12120757027866547,0.6300102948373922,2.430010294837392,4.5,2020.0,3.6,2.1,40.4,1,Large central metro,0.11352123229284873,0.05384662979638849,36.0,325300.0,0.5689016481072372,0.49796777813552906
2012,ILLINOIS,IL,4,0.8300219925362441,0.1699530867427994,-0.6600689057934446,D,0.6600689057934446,False,IL-04,706919,43974.0,0.1841366206321253,0.2826397256464918,0.5775583907067147,0.0449400850733959,0.0268588056057341,0.7027368057726557,0.4224416092932853,509456,,,-1.0,True,,,,False,,0.33993109420655543,0.33993109420655543,3.9,2012.0,8.1,2.3,49.1,1,Large central metro,0.20652478596237606,0.12578091780329048,30.8,241300.0,0.47132545630085976,0.5060678836952313
2014,ILLINOIS,IL,4,0.7814682570823197,0.2185317429176803,-0.5629365141646394,D,0.5629365141646394,False,IL-04,708847,43666.0,0.1928018863832983,0.279764065128616,0.5971246263298003,0.0436285968622283,0.0303478747882124,0.7076280212796273,0.4028753736701996,514973,True,False,-5.7,False,-0.6600689057934446,D,0.8300219925362441,False,-0.048553735453924385,0.4370634858353606,5.137063485835361,3.9,2012.0,6.2,2.5,42.6,1,Large central metro,0.22046585592684884,0.12261594537763425,31.4,206300.0,0.45714941578862794,0.5059481294260915
2018,ILLINOIS,IL,4,0.865851530486374,0.134148469513626,-0.731703060972748,D,0.731703060972748,False,IL-04,699621,52265.0,0.2410100311924004,0.2728692577626542,0.5813418979704725,0.0415210521125009,0.0366326911284824,0.6959253653049294,0.4186581020295274,521133,,,8.6,False,,,,False,,0.26829693902725205,-9.331703060972748,2.1,2016.0,3.9,3.0,42.0,1,Large central metro,0.17973499475771135,0.06746591379716374,32.8,227800.0,0.4701853053572716,0.5040702042127115
2020,ILLINOIS,IL,4,0.8405383928130485,0.1594616071869514,-0.6810767856260971,D,0.6810767856260971,False,IL-04,683260,59793.0,0.2693940478241471,0.2773919804215204,0.5355867458946814,0.0405936246816731,0.039267628721131,0.6773775722272634,0.4644132541053186,519306,True,False,6.8,False,-0.731703060972748,D,0.865851530486374,False,-0.025313137673325437,0.3189232143739029,-7.481076785626097,4.5,2020.0,8.1,-3.4,41.9,1,Large central metro,0.14361954354414497,0.06069991715354751,33.7,253500.0,0.48313098141414496,0.5013390694054943
2022,ILLINOIS,IL,4,0.6842394041203484,0.2807428953678023,-0.4034965087525461,D,0.4034965087525461,False,IL-04,735314,68516.0,0.2332166660073331,0.3093967514985956,0.4415052616977237,0.0466793777896245,0.0425750087717628,0.6560068215755446,0.5584947383022763,554487,True,False,-2.8,True,-0.6810767856260971,D,0.8405383928130485,False,-0.1562989886927001,0.5965034912474538,2.396503491247454,4.5,2020.0,3.6,2.1,40.4,1,Large central metro,0.1304008884014866,0.07268389968707303,35.9,258100.0,0.6210663865754716,0.5059699925685887
2012,ILLINOIS,IL,5,0.6573377173354242,0.2858564153015974,-0.3714813020338268,D,0.3714813020338268,False,IL-05,721248,67350.0,0.4933014576897402,0.1892202368939876,0.8023523115488709,0.028686388038511,0.0681457695549935,0.189802952659834,0.1976476884511291,589207,,,-1.0,True,,,,False,,0.6285186979661732,0.6285186979661732,3.9,2012.0,8.1,2.3,49.1,1,Large central metro,0.10506063269139518,0.07473374245386043,34.6,332600.0,0.5543611925951706,0.49346908888036545
2014,ILLINOIS,IL,5,0.632347746700069,0.3062183796238432,-0.3261293670762258,D,0.3261293670762258,False,IL-05,727898,69426.0,0.5058098658820832,0.1876007794887471,0.8108155263512196,0.0280259047284097,0.0669874075763362,0.1946028152296063,0.1891844736487804,593003,True,False,-5.7,False,-0.3714813020338268,D,0.6573377173354242,False,-0.02498997063535524,0.6738706329237742,5.373870632923774,3.9,2012.0,6.2,2.5,42.6,1,Large central metro,0.10831381569969672,0.07187308067487987,34.8,304300.0,0.5470960715364871,0.4951128136457042
2016,ILLINOIS,IL,5,0.6784370975762135,0.2748339304611697,-0.4036031671150438,D,0.4036031671150438,False,IL-05,732035,74066.0,0.5230679285408854,0.1816145279513212,0.8138203774409694,0.028296461234777,0.0685609294637551,0.1998551981804148,0.1861796225590306,595335,True,False,-1.0,False,-0.3261293670762258,D,0.632347746700069,False,0.04608935087614452,0.5963968328849563,0.5963968328849563,2.1,2016.0,4.7,1.7,48.5,1,Large central metro,0.09959249051892681,0.05378307537850968,34.9,310500.0,0.5393837087151568,0.4926832888709298
2018,ILLINOIS,IL,5,0.7666364538514174,0.2333456334122688,-0.5332908204391487,D,0.5332908204391487,False,IL-05,740075,82907.0,0.5450869555477564,0.1733771906898946,0.8099584501570787,0.0290078708239029,0.0732723034827551,0.1963800966118298,0.1900415498429213,601633,True,False,8.6,False,-0.4036031671150438,D,0.6784370975762135,False,0.08819935627520392,0.46670917956085134,-9.133290820439148,2.1,2016.0,3.9,3.0,42.0,1,Large central metro,0.0881666367390914,0.04169065043993093,35.1,340400.0,0.5568204605598382,0.4947495214478378
2020,ILLINOIS,IL,5,0.707670972760061,0.2662820984800884,-0.4413888742799726,D,0.4413888742799726,False,IL-05,737812,90424.0,0.5687350273385382,0.1620485777606691,0.7801092961350587,0.0301824855112142,0.0751790428998172,0.1979596428358443,0.2198907038649412,599725,True,False,6.8,False,-0.5332908204391487,D,0.7666364538514174,False,-0.058965481091356464,0.5586111257200275,-7.241388874279973,4.5,2020.0,8.1,-3.4,41.9,1,Large central metro,0.07924313597220581,0.041204620572081414,35.5,363800.0,0.5591306673276238,0.49491013841533327
2022,ILLINOIS,IL,5,0.695680203970133,0.2881515206701875,-0.4075286832999454,D,0.4075286832999454,False,IL-05,753753,110758.0,0.644039247751431,0.1305859907331698,0.7560686325626564,0.0270831426209912,0.1094018862943165,0.1205328536005826,0.2439313674373435,609416,True,False,-2.8,True,-0.4413888742799726,D,0.707670972760061,False,-0.011990768789927997,0.5924713167000546,2.392471316700054,4.5,2020.0,3.6,2.1,40.4,1,Large central metro,0.0708920118482172,0.039229574983238556,37.5,437100.0,0.6009060780200067,0.49339546537594425
2012,ILLINOIS,IL,6,0.4077864893953006,0.5922135106046994,0.1844270212093987,R,0.1844270212093987,False,IL-06,712815,90450.0,0.5061268872067249,0.1751913345322236,0.8580739743131107,0.0237943926544755,0.0785351037786803,0.0899111270105146,0.1419260256868892,532880,,,-1.0,True,,,,False,,0.8155729787906013,1.1844270212093986,3.9,2012.0,8.1,2.3,49.1,1,Large central metro,0.051670405850756794,0.07530939070901667,40.0,320400.0,0.8136462717252007,0.49157511745381327
